timestamp,price,direction,profit
1999-11-10,100,SELL,1
1999-11-22,100,SELL,1
1999-12-02,100,SELL,1
1999-12-10,100,SELL,1
1999-12-17,100,SELL,1
2000-01-12,100,SELL,1
2000-02-03,100,SELL,1
2000-02-14,100,SELL,1
2000-02-17,100,SELL,1
2000-02-25,100,SELL,1
2000-03-06,100,SELL,1
2000-03-09,100,SELL,1
2000-03-20,100,SELL,1
2000-03-24,100,SELL,1
2000-04-03,100,SELL,1
2000-04-11,100,SELL,1
2000-04-17,100,SELL,1
2000-06-07,100,SELL,1
2000-06-14,100,SELL,1
2000-06-23,100,SELL,1
2000-07-03,100,SELL,1
2000-07-07,100,SELL,1
2000-08-01,100,SELL,1
2000-08-14,100,SELL,1
2000-08-23,100,SELL,1
2000-09-22,100,SELL,1
2000-09-28,100,SELL,1
2000-10-06,100,SELL,1
2000-10-11,100,SELL,1
2000-10-19,100,SELL,1
2000-10-27,100,SELL,1
2000-11-09,100,SELL,1
2000-12-22,100,SELL,1
2001-01-02,100,SELL,1
2001-01-05,100,SELL,1
2001-01-12,100,SELL,1
2001-01-23,100,SELL,1
2001-02-01,100,SELL,1
2001-02-13,100,SELL,1
2001-02-21,100,SELL,1
2001-03-05,100,SELL,1
2001-03-13,100,SELL,1
2001-03-16,100,SELL,1
2001-03-27,100,SELL,1
2001-03-30,100,SELL,1
2001-04-05,100,SELL,1
2001-04-16,100,SELL,1
2001-04-24,100,SELL,1
2001-05-17,100,SELL,1
2001-06-14,100,SELL,1
2001-06-21,100,SELL,1
2001-07-02,100,SELL,1
2001-07-10,100,SELL,1
2001-07-13,100,SELL,1
2001-07-20,100,SELL,1
2001-07-25,100,SELL,1
2001-08-16,100,SELL,1
2001-09-07,100,SELL,1
2001-10-18,100,SELL,1
2001-10-24,100,SELL,1
2001-11-02,100,SELL,1
2001-11-21,100,SELL,1
2001-12-06,100,SELL,1
2002-01-28,100,SELL,1
2002-02-13,100,SELL,1
2002-03-26,100,SELL,1
2002-04-05,100,SELL,1
2002-04-11,100,SELL,1
2002-04-19,100,SELL,1
2002-04-26,100,SELL,1
2002-05-02,100,SELL,1
2002-05-08,100,SELL,1
2002-05-13,100,SELL,1
2002-06-18,100,SELL,1
2002-06-27,100,SELL,1
2002-07-31,100,SELL,1
2002-08-08,100,SELL,1
2002-08-19,100,SELL,1
2002-08-27,100,SELL,1
2002-09-05,100,SELL,1
2002-09-10,100,SELL,1
2002-09-17,100,SELL,1
2002-09-20,100,SELL,1
2002-11-01,100,SELL,1
2002-11-13,100,SELL,1
2002-12-27,100,SELL,1
2003-01-08,100,SELL,1
2003-01-17,100,SELL,1
2003-01-27,100,SELL,1
2003-02-05,100,SELL,1
2003-02-10,100,SELL,1
2003-02-18,100,SELL,1
2003-02-28,100,SELL,1
2003-03-07,100,SELL,1
2003-03-12,100,SELL,1
2003-03-18,100,SELL,1
2003-03-27,100,SELL,1
2003-04-02,100,SELL,1
2003-04-08,100,SELL,1
2003-04-11,100,SELL,1
2003-04-16,100,SELL,1
2003-04-28,100,SELL,1
2003-06-02,100,SELL,1
2003-06-09,100,SELL,1
2003-06-17,100,SELL,1
2003-07-16,100,SELL,1
2003-08-27,100,SELL,1
2003-09-05,100,SELL,1
2003-10-07,100,SELL,1
2003-11-06,100,SELL,1
2003-11-11,100,SELL,1
2003-11-14,100,SELL,1
2003-11-24,100,SELL,1
2003-12-01,100,SELL,1
2003-12-04,100,SELL,1
2004-01-12,100,SELL,1
2004-01-21,100,SELL,1
2004-02-13,100,SELL,1
2004-03-15,100,SELL,1
2004-03-30,100,SELL,1
2004-04-07,100,SELL,1
2004-04-14,100,SELL,1
2004-05-12,100,SELL,1
2004-05-28,100,SELL,1
2004-06-08,100,SELL,1
2004-06-15,100,SELL,1
2004-06-18,100,SELL,1
2004-06-25,100,SELL,1
2004-06-30,100,SELL,1
2004-07-08,100,SELL,1
2004-07-13,100,SELL,1
2004-07-16,100,SELL,1
2004-07-23,100,SELL,1
2004-07-28,100,SELL,1
2004-08-09,100,SELL,1
2004-08-12,100,SELL,1
2004-08-31,100,SELL,1
2004-09-07,100,SELL,1
2004-09-13,100,SELL,1
2004-09-17,100,SELL,1
2004-09-27,100,SELL,1
