Symbol,Start Value,End Value,Total Return %,Sharpe Ratio,Max Drawdown %,Win Rate %,Profit Factor,Avg R/R
ASML,1000,11432.529999999995,1043.2529999999995,0.6767749394802147,60.54434019810032,81.25,6.1367987237436905,2.7894539653380415
KDP,1000,7504.71,650.471,0.7421870741409612,45.18949638184341,100.0,inf,0.0
UNH,1000,5137.830000000001,413.78300000000013,0.5949189956514604,67.7183800427789,85.71428571428571,112.53180592991635,18.75530098831939
BX,1000,3567.8499999999995,256.78499999999997,0.36011393719694634,80.442,100.0,inf,0.0
PEP,1000,2984.3439999999987,198.43439999999987,0.5483891831348607,38.86863414821352,93.75,22.494194107452394,1.4996129404968264
