Symbol,Start Value,End Value,Total Return %,Sharpe Ratio,Max Drawdown %,Win Rate %,Profit Factor,Avg R/R
UNH,1000,2873.990000000001,187.3990000000001,0.7572730465696103,19.958902043586466,31.746031746031743,2.874173512322182,1.7099513301157292
ASML,1000,2861.7445999999995,186.17445999999998,0.5582290881926496,22.394121227932853,25.773195876288657,2.593781340255013,2.997258437628015
DFS,1000,2105.29,110.52900000000001,0.30528030426167996,26.809102499710235,9.523809523809524,6.679512871897642,63.4553722830276
PEP,1000,1926.4922000000017,92.64922000000017,0.543869054038955,15.315735744494658,32.5,2.550701942128901,3.8260529131933514
LMT,1000,1590.1499999999999,59.01499999999999,0.14520581965593948,25.26893595822975,100.0,inf,0.0
