Symbol,Start Value,End Value,Total Return %,Sharpe Ratio,Max Drawdown %,Win Rate %,Profit Factor,Avg R/R
ASML,1000,10560.307200000001,956.0307200000001,0.9471619841021641,56.01955944088932,71.42857142857143,7.753155515370711,1.7444599909584095
UNH,1000,3672.544,267.2544,0.5034013269839915,62.93655487032187,88.67924528301887,4.095802057269948,0.9525121063418481
PEP,1000,2301.7749999999996,130.17749999999998,0.6364777709059081,23.08953046485239,78.0,5.14422577480233,1.1292202920297798
KDP,1000,2261.2400000000002,126.12400000000004,0.5715069449202882,40.37899829764358,72.5,5.590085963923332,1.6229281830745161
BX,1000,1948.87,94.88699999999999,0.2896124952350488,69.58,65.95744680851064,1.7860609196688295,0.9218378940226218
