timestamp,high,low,volume,adj close,P,R1,R2,R3,S1,S2,S3,obv,volume_zscore,rsi,macd,macds,macdh,sma,lma,sema,lema,overnight_gap,return_lag_1,return_lag_3,return_lag_5,volatility,SR_K,SR_D,SR_RSI_K,SR_RSI_D,ATR,HL_PCT,PCT_CHG,close
1999-11-01,80.69,77.37,2487300,77.62,78.56,79.75,81.88,83.07,76.43,75.24000000000001,73.11000000000001,2487300.0,0.0,0.0,0.0,0.0,0.0,77.62,77.62,77.62,77.62,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,4.277248131924752,0.0,77.62
1999-11-02,81.69,77.31,3564600,80.25,79.75,82.19,84.13,86.57,77.81,75.37,73.43,3564600.0,0.0,0.0,0.0,0.0,0.0,80.25,80.25,77.8704761904762,77.72313725490196,0.00488370074883134,0.03388301984024733,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,5.457943925233639,3.388301984024733,80.25
1999-11-03,83.25,81.0,2932700,81.5,81.91666666666667,82.83333333333334,84.16666666666667,85.08333333333334,80.58333333333334,79.66666666666667,78.33333333333334,6497300.0,0.0,0.0,0.0,0.0,0.0,81.5,81.5,78.21614512471656,77.87124951941561,0.01692756796753451,0.015576323987538832,0.0,0.0,0.0,50.0,50.0,50.0,50.0,0.0,2.7607361963190185,1.5576323987538832,81.5
1999-11-04,85.37,80.62,3384700,83.62,83.20333333333333,85.78666666666666,87.95333333333333,90.53666666666666,81.03666666666666,78.45333333333333,76.28666666666666,9882000.0,0.0,0.0,0.0,0.0,0.0,83.62,83.62,78.73079796998165,78.09669071473265,0.006847666767223007,0.026012269938650467,0.0772996650347848,0.0,0.0,50.0,50.0,50.0,50.0,0.0,5.680459220282229,2.6012269938650467,83.62
1999-11-05,88.37,84.0,3721500,88.31,86.89333333333333,89.78666666666666,91.26333333333334,94.15666666666667,85.41666666666666,82.52333333333333,81.04666666666665,13603500.0,0.0,0.0,0.0,0.0,0.0,88.31,88.31,79.6431029252215,78.49721264748824,0.011887919363502523,0.056087060511839315,0.10043613707165111,0.0,0.0,50.0,50.0,50.0,50.0,0.0,4.9484769561771085,5.6087060511839315,88.31
1999-11-08,97.73,86.75,8490400,96.37,93.61666666666667,100.48333333333335,104.59666666666668,111.46333333333335,89.50333333333334,82.63666666666667,78.52333333333334,22093900.0,0.0,0.0,0.0,0.0,0.0,96.37,96.37,81.23614074186708,79.19810626915537,-0.006361489134735634,0.09126939191484551,0.1824539877300615,0.2415614532337027,0.0,50.0,50.0,50.0,50.0,0.0,11.393587215938574,9.126939191484551,96.37
1999-11-09,94.5,88.0,7224800,89.62,90.70666666666666,93.41333333333333,97.20666666666666,99.91333333333333,86.91333333333333,84.20666666666666,80.41333333333333,14869100.0,0.0,0.0,0.0,0.0,0.0,89.62,89.62,82.03460352835593,79.60680798409047,-0.020971723829954426,-0.07004254436027813,0.07175316909830176,0.11676012461059204,0.0,50.0,50.0,50.0,50.0,0.0,7.252845347020755,-7.0042544360278125,89.62
1999-11-10,93.25,88.12,5159800,91.44,90.93666666666667,93.75333333333333,96.06666666666666,98.88333333333333,88.62333333333333,85.80666666666667,83.49333333333334,20028900.0,0.0,0.0,0.0,0.0,0.0,91.44,91.44,82.93035557327441,80.07085472981242,-0.015404813544590827,0.02030796697165793,0.03544332465179467,0.121963190184049,0.0,50.0,50.0,50.0,50.0,0.0,5.610236220472435,2.030796697165793,91.44
1999-11-11,92.62,89.87,2409600,92.25,91.58,93.28999999999999,94.33,96.03999999999999,90.53999999999999,88.83,87.78999999999999,22438500.0,0.0,0.0,0.0,0.0,0.0,92.25,92.25,83.81794075677209,80.5484682698198,0.001639075928341023,0.008858267716535417,-0.04275189374286603,0.1032049748863908,0.0,50.0,50.0,50.0,50.0,0.0,2.9810298102981028,0.8858267716535417,92.25
1999-11-12,92.0,87.37,2491600,90.62,89.99666666666667,92.62333333333333,94.62666666666667,97.25333333333333,87.99333333333334,85.36666666666667,83.36333333333334,19946900.0,0.0,0.0,0.0,0.0,0.0,90.62,90.62,84.46575592279379,80.9434302984543,-0.003366092542554612,-0.01766937669376689,0.01115822361080121,0.0261578530177784,0.0,50.0,50.0,50.0,50.0,0.0,5.109247406753471,-1.7669376693766892,90.62
1999-11-15,92.87,88.5,2320600,89.44,90.27,92.03999999999999,94.64,96.41,87.66999999999999,85.89999999999999,83.29999999999998,17626300.0,0.0,0.0,0.0,0.0,0.0,89.44,89.44,84.93949345395629,81.27662911027961,-0.011096429880995224,-0.013021408077687147,-0.02187226596675418,-0.07191034554321896,0.0,50.0,50.0,50.0,50.0,0.0,4.885957066189629,-1.3021408077687147,89.44
1999-11-16,91.75,88.5,2088000,91.19,90.48,92.46000000000001,93.73,95.71000000000001,89.21000000000001,87.23,85.96000000000001,19714300.0,0.0,0.0,0.0,0.0,0.0,91.19,91.19,85.53477979167474,81.66538875301376,0.006241660923476134,0.0195661896243291,-0.011490514905149074,0.017518411068957684,0.0,50.0,50.0,50.0,50.0,0.0,3.563987279306942,1.95661896243291,91.19
