Symbol,Start Value,End Value,Total Return %,Sharpe Ratio,Max Drawdown %,Win Rate %,Profit Factor,Avg R/R
ASML,1000,14177.1492,1317.7149200000001,0.7076487375798081,60.54434019810032,82.35294117647058,4.134820282118232,0.7129000486410747
UNH,1000,8571.010000000002,757.1010000000003,0.7630726940214808,66.1727695731337,92.3076923076923,10.611051869906307,0.5735703713462869
KDP,1000,5377.555,437.7555,0.6565345763732655,45.18949638184341,94.73684210526315,1337.1507462689094,74.28615257049496
BX,1000,3693.4099999999976,269.3409999999997,0.37757342832080354,80.442,84.61538461538461,13.928202501387275,1.1606835417822727
PEP,1000,2125.7999999999975,112.57999999999973,0.47272515808654714,24.123090581003744,75.0,3.538961170763389,1.179653723587796
